error,model
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3542,error_encoding_weight
0.3646,error_encoding_weight
0.3542,error_encoding_weight
0.3594,error_encoding_weight
0.3698,error_encoding_weight
0.5312,error_encoding_input
0.4688,error_encoding_input
0.4688,error_encoding_input
0.5,error_encoding_input
0.4896,error_encoding_input
0.3594,error_phase_encoding
0.3698,error_phase_encoding
0.3646,error_phase_encoding
0.375,error_phase_encoding
0.3698,error_phase_encoding
